"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"RCR","RINCON RESOURCES LIMITED","2020-12-21","Materials",5647043
"RCT","REEF CASINO TRUST","1994-02-11","Consumer Services",152889181
"RCW","RIGHTCROWD LIMITED","2017-09-18","Software & Services",14883598
"RD1","REGISTRY DIRECT LIMITED","2017-11-01","Software & Services",6688710
"RDG","RESOURCE DEVELOPMENT GROUP LIMITED","2011-05-19","Capital Goods",124060000
"RDM","RED METAL LIMITED","2003-10-27","Materials",22840032
"RDN","RAIDEN RESOURCES LIMITED","1987-03-12","Materials",15550194
"RDS","REDSTONE RESOURCES LIMITED","2006-08-03","Materials",6263075
"RDT","RED DIRT METALS LIMITED","2017-11-03","Materials",121403934
"RDY","READYTECH HOLDINGS LIMITED","2019-04-17","Software & Services",318794124
"REA","REA GROUP LTD","1999-12-01","Media & Entertainment",14950384276
"REC","RECHARGE METALS LIMITED","2021-10-11","Materials",15719063
"RED","RED 5 LIMITED","1996-10-16","Materials",801162622
"REE","RAREX LIMITED","2007-07-11","Materials",43890937
"REG","REGIS HEALTHCARE LIMITED","2014-10-07","Health Care Equipment & Services",667850958
"REH","REECE LIMITED","1974-01-01","Capital Goods",10910672817
"REM","REMSENSE TECHNOLOGIES LIMITED","2021-11-02","Capital Goods",18306563
"REP","RAM ESSENTIAL SERVICES PROPERTY FUND","2021-10-20","Real Estate",479397366
"RES","RESOURCE GENERATION LIMITED","2003-10-31","Energy","N/A"
"REX","REGIONAL EXPRESS HOLDINGS LIMITED","2005-11-09","Transportation",132185250
"REY","REY RESOURCES LIMITED","2006-06-05","Energy",59339711
"REZ","RESOURCES & ENERGY GROUP LIMITED","2005-03-11","Materials",23490872
"RF1","REGAL INVESTMENT FUND","2019-06-17","Not Applic",625500549
"RFA","RARE FOODS AUSTRALIA LIMITED","2017-11-14","Food, Beverage & Tobacco",12245310
"RFF","RURAL FUNDS GROUP","2014-02-14","Real Estate",1109292801
"RFG","RETAIL FOOD GROUP LIMITED","2006-06-22","Consumer Services",121071146
"RFR","RAFAELLA RESOURCES LTD.","2018-07-26","Materials",10109659
"RFT","RECTIFIER TECHNOLOGIES LTD","1994-09-22","Capital Goods",71536431
"RFX","REDFLOW LIMITED","2010-12-14","Capital Goods",54657774
"RGI","ROTO-GRO INTERNATIONAL LIMITED","2017-02-10","Capital Goods","N/A"
"RGL","RIVERSGOLD LIMITED","2017-10-10","Materials",27429413
"RGS","REGENEUS LTD","2013-09-19","Pharmaceuticals, Biotechnology & Life Sciences",15934720
"RHC","RAMSAY HEALTH CARE LIMITED","1997-09-24","Health Care Equipment & Services",17669667626
"RHI","RED HILL IRON LIMITED","2006-02-14","Materials",266163381
"RHT","RESONANCE HEALTH LIMITED","1987-10-23","Health Care Equipment & Services",48420708
"RHY","RHYTHM BIOSCIENCES LIMITED","2017-12-07","Health Care Equipment & Services",254756623
"RIC","RIDLEY CORPORATION LIMITED","1987-08-13","Food, Beverage & Tobacco",527166709
"RIE","RIEDEL RESOURCES LIMITED","2011-01-31","Materials",9645364
"RIM","RIMFIRE PACIFIC MINING LIMITED","1997-03-04","Materials",14449958
"RIO","RIO TINTO LIMITED","1962-09-19","Materials",38224133762
"RKN","RECKON LIMITED","1999-07-19","Software & Services",97433556
"RLC","REEDY LAGOON CORPORATION LIMITED","2007-06-22","Materials",13708931
"RLF","RLF AGTECH LTD","2022-04-21","Materials",33287990
"RLG","ROOLIFE GROUP LTD","2016-11-16","Media & Entertainment",9831232
"RLT","RENERGEN LIMITED","2019-06-06","Energy",434480903
"RMC","RESIMAC GROUP LTD","2001-03-19","Banks",591305172
"RMD","RESMED INC","1999-11-25","Health Care Equipment & Services",40754904883
"RMI","RESOURCE MINING CORPORATION LIMITED","1985-02-14","Materials",20471000
"RML","RESOLUTION MINERALS LTD","2017-09-22","Materials",8649766
"RMS","RAMELIUS RESOURCES LIMITED","2003-03-31","Materials",1127600642
"RMX","RED MOUNTAIN MINING LIMITED","2011-09-01","Materials",13138911
"RMY","RMA GLOBAL LIMITED","2018-07-05","Media & Entertainment",79094340
"RND","RAND MINING LIMITED","1985-08-15","Materials",85882701
"RNE","RENU ENERGY LIMITED","2002-09-12","Utilities",14887982
"RNO","RHINOMED LIMITED","2007-09-21","Pharmaceuticals, Biotechnology & Life Sciences",49581868
"RNT","RENT.COM.AU LIMITED","1994-05-26","Media & Entertainment",16730302
"RNU","RENASCOR RESOURCES LIMITED","2010-12-15","Energy",462630488
"RNX","RENEGADE EXPLORATION LIMITED","2006-11-14","Materials",8796266
"ROC","ROCKETBOOTS LIMITED","2021-12-07","Software & Services",5663500
"ROG","RED SKY ENERGY LIMITED.","2007-05-23","Energy",31813363
"RON","RONIN RESOURCES LTD","2021-12-16","Materials",5534377
"ROO","ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD","2017-12-07","Capital Goods",4122980
"RPG","RAPTIS GROUP LIMITED","1986-07-17","Real Estate",2095050
"RPM","RPM AUTOMOTIVE GROUP LIMITED","1983-11-10","Automobiles & Components",44113159
"RR1","REACH RESOURCES LIMITED","2002-11-06","Materials",11460304
"RRL","REGIS RESOURCES LIMITED","1987-02-19","Materials",1400110033
"RRR","REVOLVER RESOURCES HOLDINGS LTD","2021-09-23","Materials",71207236
"RSG","RESOLUTE MINING LIMITED","1979-01-11","Materials",342218771
"RSH","RESPIRI LIMITED","2000-07-14","Health Care Equipment & Services",30399854
"RTE","RETECH TECHNOLOGY CO. LIMITED","2017-06-22","Consumer Services",44253400
"RTG","RTG MINING INC.","2014-06-05","Materials",71291324
